UNIVERSIDAD,UNI,CLASE_UNI,PAIS_UNI,CIUDAD_UNI,LOC,long,lat
UNIVERSIDAD DE BUENOS AIRES,UNIVERSIDAD DE BUENOS AIRES,Pública,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD DEL NORTE,UNIVERSIDAD DEL NORTE,Privada,Paraguay,Asunción,"Asunción, Paraguay",-57.5759,-25.2637
UNIVERSIDAD NACIONAL DE TUCUMAN,UNIVERSIDAD NACIONAL DE TUCUMAN,Pública,Argentina,Tucumán,"Tucumán, Argentina",-65.2226,-26.8241
UNIVERSIDAD DEL SALVADOR,UNIVERSIDAD DEL SALVADOR,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD FAVALORO,UNIVERSIDAD FAVALORO,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD NACIONAL DE ENTRE RIOS,UNIVERSIDAD NACIONAL DE ENTRE RIOS,Pública,Argentina,Entre Ríos,"Entre Ríos, Argentina",-60.5238,-31.7226
UNIVERSIDAD NACIONAL DE CHIMBORAZO,UNIVERSIDAD NACIONAL DE CHIMBORAZO,Pública,Ecuador,Riobamba,"Riobamba, Ecuador",-78.6546,-1.6644
UNIVERSIDAD NACIONAL DE LA PLATA,UNIVERSIDAD NACIONAL DE LA PLATA,Pública,Argentina,La Plata,"La Plata, Argentina",-57.9544,-34.9214
UNIVERSIDAD NACIONAL DE CORDOBA,UNIVERSIDAD NACIONAL DE CORDOBA,Pública,Argentina,Cordoba,"Cordoba, Argentina",-64.1888,-31.4201
INSTITUTO UNIVERSITARIO ESCUELA DE MEDICINA DEL HOSPITAL ITALIANO,HOSPITAL ITALIANO DE BUENOS AIRES,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD DE CUENCA,UNIVERSIDAD DE CUENCA,Pública,Ecuador,Cuenca,"Cuenca, Ecuador",-79.0045,-2.9006
UNIVERSIDAD NACIONAL DEL NORDESTE,UNIVERSIDAD NACIONAL DEL NORDESTE,Pública,Argentina,Corrientes,"Corrientes, Argentina",-58.8196,-27.4806
UNIVERSIDAD TECNICA DE MANABI,UNIVERSIDAD TECNICA DE MANABI,Pública,Ecuador,Portovejo,"Portovejo, Ecuador",-80.4545,-1.0564
UNIVERSIDAD CATOLICA DE CUYO,UNIVERSIDAD CATOLICA DE CUYO,Privada,Argentina,San Juan,"San Juan, Argentina",-68.5364,-31.5375
UNIVERSIDAD DE GUAYAQUIL,UNIVERSIDAD DE GUAYAQUIL,Pública,Ecuador,Guayaquil,"Guayaquil, Ecuador",-79.9224,-2.17
UNIVERSIDAD DEL SINU ELIAS BECHARA ZAINUM,UNIVERSIDAD DEL SINU ELIAS BECHARA ZAINUM,Privada,Colombia,Montería,"Montería, Colombia",-75.8833,8.75
UNIVERSIDAD TECNICA PARTICULAR DE LOJA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,Privada,Ecuador,Loja,"Loja, Ecuador",-79.2108,-4.0089
UNIVERSIDAD EL BOSQUE,UNIVERSIDAD EL BOSQUE,Privada,Colombia,Bogotá,"Bogotá, Colombia",-74.0721,4.711
UNIVERSIDAD MAYOR DE SAN SIMON,UNIVERSIDAD MAYOR DE SAN SIMON,Pública,Bolivia,Cochabamba,"Cochabamba, Bolivia",-66.1568,-17.3898
INSTITUTO UNIVERSITARIO DE CIENCIAS DE LA SALUD - FUNDACION H.A. BARCELO,BARCELO - BUENOS AIRES,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD NACIONAL DE MAR DEL PLATA,UNIVERSIDAD NACIONAL DE MAR DEL PLATA,Pública,Argentina,Mar del Plata,"Mar del Plata, Argentina",-57.5426,-38.0055
UNIVERSIDAD TECNICA DE ORURO,UNIVERSIDAD TECNICA DE ORURO,Pública,Bolivia,Oruro,"Oruro, Bolivia",-67.1167,-17.9833
FUNDACION UNIVERSITARIA SAN MARTIN,FUNDACION UNIVERSITARIA SAN MARTIN,Privada,Colombia,Bogotá,"Bogotá, Colombia",-74.0721,4.711
UNIVERSIDAD ABIERTA INTERAMERICANA,UAI,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD MAYOR REAL Y PONTIFICIA SAN FRANCISCO XAVIER DE CHUQUISACA,UNIVERSIDAD MAYOR REAL Y PONTIFICIA SAN FRANCISCO XAVIER DE CHUQUISACA,Pública,Bolivia,Sucre,"Sucre, Bolivia",-65.2627,-19.0333
UNIVERSIDAD AUTONOMA GABRIEL RENE MORENO,UNIVERSIDAD AUTONOMA GABRIEL RENE MORENO,Pública,Bolivia,Santa Cruz de la Sierra,"Santa Cruz de la Sierra, Bolivia",-63.1822,-17.7833
UNIVERSIDAD NACIONAL EXPERIMENTAL DE LOS LLANOS CENTRALES ROMULO GALLEGOS,UNIVERSIDAD NACIONAL EXPERIMENTAL DE LOS LLANOS CENTRALES ROMULO GALLEGOS,Pública,Venezuela,Zarzara,"Zarzara, Venezuela",-69.4011,9.9604
UNIVERSIDAD PRIVADA DEL VALLE,UNIVERSIDAD PRIVADA DEL VALLE,Privada,Bolivia,La Paz,"La Paz, Bolivia",-68.15,-16.5
UNIVERSIDAD FASTA - DE LA FRATERNIDAD DE AGRUPACIONES SANTO TOMAS DE AQUINO,FASTA,Privada,Argentina,Mar del Plata,"Mar del Plata, Argentina",-57.5426,-38.0055
HOSPITAL UNIVERSITARIO AUSTRAL,HOSPITAL UNIVERSITARIO AUSTRAL,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
INSTITUTO UNIVERSITARIO DE CIENCIAS DE LA SALUD (BARCELÓ),BARCELO - BUENOS AIRES,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
INSTITUTO UNIVERSITARIO ITALIANO DE ROSARIO,INSTITUTO UNIVERSITARIO ITALIANO DE ROSARIO,Privada,Argentina,Rosario,"Rosario, Argentina",-60.6505,-32.9442
UNIVERSIDAD NACIONAL DEL SUR,UNIVERSIDAD NACIONAL DEL SUR,Pública,Argentina,Bahia Blanca,"Bahia Blanca, Argentina",-62.2659,-38.7196
UNIVERSIDAD NACIONAL DEL LITORAL,UNIVERSIDAD NACIONAL DEL LITORAL,Pública,Argentina,Santa Fe,"Santa Fe, Argentina",-60.7,-31.6333
ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,Pública,Ecuador,Riobamba,"Riobamba, Ecuador",-78.6546,-1.6644
UNIVERSIDAD NACIONAL DE LA MATANZA,UNIVERSIDAD NACIONAL DE LA MATANZA,Pública,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
INSTITUTO UNIVERSITARIO CENTRO DE EDUCACION MEDICA E INVESTIGACIONES CLINICAS DR. QUIRNO (CEMIC),CEMIC,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
