UNIVERSIDAD,TIPO_UNI,PAIS_UNI,UNI
CEMIC - HOSPITAL UNIVERSITARIO SEDE SAAVEDRA,Privada,Argentina,CEMIC
FUNDACION UNIVERSITARIA SAN MARTIN,Privada,Argentina,UNIVERSIDAD DE SAN MARTIN
HOSPITAL CENTRAL DE SAN ISIDRO,Privada,Argentina,UNIVERSIDAD DE BUENOS AIRES
HOSPITAL DE CLINICAS JOSE DE SAN MARTIN,Publica,Argentina,UNIVERSIDAD DE BUENOS AIRES
HOSPITAL ESCUELA JOSE FRANCISCO DE SAN MARTIN,Publica,Argentina,UNIVERSIDAD DE SAN MARTIN
HOSPITAL GENERAL DE AGUDOS D. VELEZ SARSFIELD,Publica,Argentina,UNIVERSIDAD DE BUENOS AIRES
HOSPITAL GENERAL DE AGUDOS P. PIÑERO,Publica,Argentina,UNIVERSIDAD DE BUENOS AIRES
HOSPITAL ITALIANO DE BUENOS AIRES,Privada,Argentina,HOSPITAL ITALIANO
HOSPITAL NACIONAL DR. BALDOMERO SOMMER,Publica,Argentina,UNIVERSIDAD DE BUENOS AIRES
HOSPITAL UNIVERSIDAD ABIERTA INTERAMERICANA UAI,Privada,Argentina,UNIVERSIDAD ABIERTA INTERAMERICANA
HOSPITAL UNIVERSITARIO AUSTRAL,Privada,Argentina,UNIVERSIDAD AUSTRAL
INSTITUTO DE INVESTIGACIONES MEDICAS DR. ALFREDO LANARI,Privada,Argentina,UNIVERSIDAD DE BUENOS AIRES
INSTITUTO UNIVERSITARIO CENTRO DE EDUCACION MEDICA E INVESTIGACIONES CLINICAS DR. QUIRNO (CEMIC),Privada,Argentina,CEMIC
INSTITUTO UNIVERSITARIO DE CIENCIAS BIOMEDICAS DE CORDOBA,Privada,Argentina,UNIVERSIDAD DE CORDOBA
INSTITUTO UNIVERSITARIO DE CIENCIAS BIOMEDICAS DE LA FUNDACION FAVALORO,Privada,Argentina,FAVALORO
INSTITUTO UNIVERSITARIO DE CIENCIAS DE LA SALUD - FUNDACION H.A. BARCELO,Privada,Argentina,BARCELO
INSTITUTO UNIVERSITARIO DE CIENCIAS DE LA SALUD (BARCELÓ),Privada,Argentina,BARCELO
INSTITUTO UNIVERSITARIO ESCUELA DE MEDICINA DEL HOSPITAL ITALIANO,Privada,Argentina,HOSPITAL ITALIANO
INSTITUTO UNIVERSITARIO FUNDACION H.A. BARCELO (LA RIOJA),Privada,Argentina,BARCELO
INSTITUTO UNIVERSITARIO ITALIANO DE ROSARIO,Privada,Argentina,HOSPITAL ITALIANO
